Snapshot_Date,Opportunity_ID,Opportunity_Stage,Opportunity_Type,Opportunity_Annual_Amount,Opportunity_Created_Date,Opportunity_Close_Date,Opportunity_Product,Account_Electronic_Medical_Record_System,Account_Hospital_Type,Account_Fiscal_Year_End,Account_State,Account_Zip_Code,Account_Number_of_Hospitals ,Account_Number_of_Beds,Account_Number_of_Affiliated_Physicians,Account_Number_of_Employee,Account_Cash_on_Hand,Account_Total_Patient_Revenue,Account_Net_Patient_Revenue
7/1/23,0061K00000mR3oA,Stage 1 - Evaluating,New Business,292073.3989,6/30/23,6/26/24,Privacy Monitoring,Epic,Health System,,VA,24016,8,951,1522,,5228803,6217397878,1933876475
7/1/23,0061K00000lUGm2,Stage 0 - Prospecting,Existing Business,102985.02,6/28/23,12/15/23,Diversion Monitoring,Epic,Short Term Acute Care Hospital,6/30/23,CA,92868,24,379,1143,,,5277530139,1659711206
7/1/23,0061K00000lUCBW,Stage 2 - Scoping,New Business,154282.5407,6/26/23,6/30/24,Diversion Monitoring,Epic,Health System,,VA,23298,9,1942,1980,8571,298090050,8342885901,2248396227
7/1/23,0061K00000lUBat,Stage 0 - Prospecting,New Business,166344.318,6/26/23,12/29/23,Privacy Monitoring,Epic,Short Term Acute Care Hospital,9/30/23,TX,76104,0,434,775,,131280220,3195426029,607964319
7/1/23,0061K00000lU5Vh,Stage 0 - Prospecting,Existing Business,120951,6/21/23,2/1/24,Diversion Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lU5Sv,Stage 4 - Verbal / VOC,New Business,46749.6,6/21/23,12/1/23,Privacy Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lU495,Stage 2 - Scoping,New Business,233183.5529,6/21/23,11/15/23,Diversion Monitoring,Epic,Health System,,VT,05401,6,925,3052,11593,188301834,5040700397,2147692114
7/1/23,0061K00000lTZCs,Stage 1 - Evaluating,New Business,117394.4698,6/2/23,11/30/23,Privacy Monitoring,Other,,,,,0,,,2000,,,
7/1/23,0061K00000lTVij,Stage 1 - Evaluating,New Business,119401.74,5/31/23,5/1/24,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,6/30/23,IA,51101,37,142,178,,172689,569945133,159570662
7/1/23,0061K00000lTTWt,Closed Won,Existing Business,201142.872,5/30/23,6/12/23,Diversion Monitoring,Epic,Health System,,IL,60611,12,2761,6676,3154,1515222918,26967920259,5680457016
