Snapshot_Date,Opportunity_ID,Opportunity_Stage,Opportunity_Type,Opportunity_Annual_Amount,Opportunity_Created_Date,Opportunity_Close_Date,Opportunity_Product,Account_Electronic_Medical_Record_System,Account_Hospital_Type,Account_Fiscal_Year_End,Account_State,Account_Zip_Code,Account_Number_of_Hospitals ,Account_Number_of_Beds,Account_Number_of_Affiliated_Physicians,Account_Number_of_Employee,Account_Cash_on_Hand,Account_Total_Patient_Revenue,Account_Net_Patient_Revenue,Opportunity_Annual_Amount_Prev_Quarter,Opportunity_Annual_Amount_Diff,Month,Year,Quarter,Year_Quarter
2023-07-01,0061K00000fL98L,Stage 2 - Scoping,Existing Business,197832.4,3/20/2020,10/30/2023,Diversion Monitoring,Epic,Health System,nan,OH,44195.0,23.0,5202.0,13581.0,10544.029979324603,368968127.0,39535837288.0,11601095157.0,537708.4632,-339876.0632,6,2023,Q2,2023Q2
2023-07-01,0061K00000fNEfL,Stage 1 - Evaluating,Existing Business,30240.0,5/22/2020,5/23/2024,Privacy Monitoring,Epic,Health System,nan,NC,27710.0,4.0,1553.0,3886.0,10544.029979324603,259901606.0331903,13039748726.0,3875811811.0,82192.32,-51952.32000000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000ftCbz,Stage 3 - Pricing,New Business,33890.0,7/22/2020,12/23/2023,Diversion Monitoring,Other,Health System,nan,AZ,85016.0,2.0,352.0,1190.0,4228.0,190886512.0,4091840391.0,1255389822.0,123998.7749,-90108.7749,6,2023,Q2,2023Q2
2023-07-01,0061K00000fvP5f,Stage 3 - Pricing,Existing Business,81073.32,9/16/2020,11/1/2023,Diversion Monitoring,Epic,Health System,nan,WA,98405.0,12.0,1900.0,4731.0,11550.0,40220179.0,13872969998.0,3600544769.0,220357.2838,-139283.9638,6,2023,Q2,2023Q2
2023-07-01,0061K00000h6jwx,Stage 3 - Pricing,New Business,75578.99,3/3/2021,1/18/2024,Diversion Monitoring,Cerner,Health System,nan,FL,33759.0,18.0,3507.0,4506.0,16328.0,2697970.0,18405754041.0,4206859612.0,205423.6948,-129844.70479999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000h6yfD,Stage 3 - Pricing,New Business,62965.0,3/12/2021,12/15/2023,Privacy Monitoring,Epic,Health System,nan,MS,39216.0,6.0,953.0,952.0,10544.029979324603,1213750055.0,3904050174.0,885735838.0,171138.87,-108173.87,6,2023,Q2,2023Q2
2023-07-01,0061K00000h7yuK,Stage 3 - Pricing,New Business,25031.19,4/16/2021,3/14/2024,Diversion Monitoring,Meditech,Health System,nan,NH,3598.0,3.0,66.0,177.0,661.0,20228450.0,246357818.0,164042539.0,68034.77442,-43003.58442,6,2023,Q2,2023Q2
2023-07-01,0061K00000h7yvD,Stage 3 - Pricing,New Business,52664.62,4/16/2021,11/24/2023,Diversion Monitoring,Epic,Short Term Acute Care Hospital,6/30/2023,CA,92324.0,0.0,366.0,427.0,2932.0,389243513.0,2413020589.0,390907095.0,143142.4372,-90477.81719999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000h93ft,Stage 3 - Pricing,Existing Business,52503.63,4/27/2021,2/15/2024,Diversion Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,SC,29169.0,0.0,541.0,940.0,5398.0,708669926.0,5448767524.0,1431532821.0,142704.8663,-90201.23629999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000h9Bgm,Stage 5 - Contracting,New Business,123554.86,4/30/2021,7/14/2023,Privacy Monitoring,Epic,Health System,nan,FL,32610.0,10.0,3017.0,3455.0,13691.0,199661573.0,14302640897.0,3513279054.0,335822.1095,-212267.24950000003,6,2023,Q2,2023Q2
