Opportunity_ID,Year_Quarter,Snapshot_Date,Opportunity_Stage,Opportunity_Type,Opportunity_Annual_Amount,Opportunity_Created_Date,Opportunity_Close_Date,Opportunity_Product,Account_Electronic_Medical_Record_System,Account_Hospital_Type,Account_Fiscal_Year_End,Account_State,Account_Zip_Code,Account_Number_of_Hospitals ,Account_Number_of_Beds,Account_Number_of_Affiliated_Physicians,Account_Number_of_Employee,Account_Cash_on_Hand,Account_Total_Patient_Revenue,Account_Net_Patient_Revenue,Month,Year,Quarter,Opportunity_Annual_Amount_Prev_Quarter,Opportunity_Annual_Amount_Diff
0061K00000b3JMy,2020Q3,2020-10-01,Stage 2 - Scoping,New Business,167838.3211,3/5/2019,3/31/2021,Privacy Monitoring,Other,Short Term Acute Care Hospital,6/30/2023,PA,15243.0,,296.0,684.0,,21723248.0,1471405868.0,370594478.0,9,2020,Q3,,
0061K00000b3JMy,2020Q4,2021-01-01,Stage 2 - Scoping,New Business,167838.3211,3/5/2019,6/30/2021,Privacy Monitoring,Other,Short Term Acute Care Hospital,6/30/2023,PA,15243.0,,296.0,684.0,,21723248.0,1471405868.0,370594478.0,12,2020,Q4,167838.3211,0.0
0061K00000b3JMy,2021Q1,2021-04-01,Closed Lost,New Business,167838.3211,3/5/2019,3/30/2021,Privacy Monitoring,Other,Short Term Acute Care Hospital,6/30/2023,PA,15243.0,,296.0,684.0,,21723248.0,1471405868.0,370594478.0,3,2021,Q1,167838.3211,0.0
0061K00000b3Qsm,2020Q3,2020-10-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,4/16/2021,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,9,2020,Q3,,
0061K00000b3Qsm,2020Q4,2021-01-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,9/16/2021,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,12,2020,Q4,418991.1971,0.0
0061K00000b3Qsm,2021Q1,2021-04-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,11/16/2021,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,3,2021,Q1,418991.1971,0.0
0061K00000b3Qsm,2021Q2,2021-07-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,11/16/2021,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,6,2021,Q2,418991.1971,0.0
0061K00000b3Qsm,2021Q3,2021-10-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,1/16/2022,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,9,2021,Q3,418991.1971,0.0
0061K00000b3Qsm,2021Q4,2022-01-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,7/16/2022,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,12,2021,Q4,418991.1971,0.0
0061K00000b3Qsm,2022Q1,2022-04-01,Stage 3 - Pricing,New Business,418991.1971,3/7/2019,7/16/2022,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,3,2022,Q1,418991.1971,0.0
0061K00000b3Qsm,2022Q2,2022-07-01,Stage 2 - Scoping,New Business,418991.1971,3/7/2019,1/12/2023,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,6,2022,Q2,418991.1971,0.0
0061K00000b3Qsm,2022Q3,2022-10-01,Stage 4 - Verbal / VOC,New Business,396827.9728,3/7/2019,10/28/2022,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,9,2022,Q3,418991.1971,-22163.2243
0061K00000b3Qsm,2022Q4,2023-01-01,Closed Won,New Business,383667.8517,3/7/2019,12/2/2022,Privacy Monitoring,Epic,Health System,,TN,38120.0,21.0,2708.0,3670.0,12464.0,160091963.0,13453250833.0,2802627571.0,12,2022,Q4,396827.9728,-13160.12109999999
0061K00000bJoVr,2020Q3,2020-10-01,Stage 3 - Pricing,New Business,189642.9596,12/21/2018,6/16/2021,Privacy Monitoring,Cerner,Health System,,GA,30342.0,6.0,1726.0,3384.0,,554217939.0,22211079113.0,5155860725.0,9,2020,Q3,,
0061K00000bJoVr,2020Q4,2020-11-01,Closed Lost,New Business,189642.9596,12/21/2018,10/27/2020,Privacy Monitoring,Cerner,Health System,,GA,30342.0,6.0,1726.0,3384.0,,554217939.0,22211079113.0,5155860725.0,10,2020,Q4,189642.9596,0.0
0061K00000c24FN,2020Q3,2020-10-01,Stage 1 - Evaluating,New Business,222903.6964,1/18/2019,6/30/2021,Diversion Monitoring,Epic,Health System,,NY,13210.0,3.0,1002.0,1185.0,,189280280.0,5018141999.0,1331165743.0,9,2020,Q3,,
0061K00000c24FN,2020Q4,2021-01-01,Stage 1 - Evaluating,New Business,222903.6964,1/18/2019,6/30/2021,Diversion Monitoring,Epic,Health System,,NY,13210.0,3.0,1002.0,1185.0,,189280280.0,5018141999.0,1331165743.0,12,2020,Q4,222903.6964,0.0
0061K00000c24FN,2021Q1,2021-04-01,Stage 1 - Evaluating,New Business,222903.6964,1/18/2019,12/30/2021,Diversion Monitoring,Epic,Health System,,NY,13210.0,3.0,1002.0,1185.0,,189280280.0,5018141999.0,1331165743.0,3,2021,Q1,222903.6964,0.0
0061K00000c24FN,2021Q2,2021-07-01,Closed Lost,New Business,222903.6964,1/18/2019,6/21/2021,Diversion Monitoring,Epic,Health System,,NY,13210.0,3.0,1002.0,1185.0,,189280280.0,5018141999.0,1331165743.0,6,2021,Q2,222903.6964,0.0
0061K00000c31gX,2020Q3,2020-10-01,Stage 1 - Evaluating,New Business,500044.6751,2/1/2019,3/15/2021,Diversion Monitoring,Epic,Health System,,LA,70121.0,38.0,4009.0,6083.0,,113684137.0,17081084846.0,4656890148.0,9,2020,Q3,,
0061K00000c31gX,2020Q4,2021-01-01,Stage 1 - Evaluating,New Business,500044.6751,2/1/2019,4/15/2022,Diversion Monitoring,Epic,Health System,,LA,70121.0,38.0,4009.0,6083.0,,113684137.0,17081084846.0,4656890148.0,12,2020,Q4,500044.6751,0.0
0061K00000c31gX,2021Q1,2021-04-01,Stage 1 - Evaluating,New Business,500044.6751,2/1/2019,4/15/2022,Diversion Monitoring,Epic,Health System,,LA,70121.0,38.0,4009.0,6083.0,,113684137.0,17081084846.0,4656890148.0,3,2021,Q1,500044.6751,0.0
